"Country Name","Occurrence","Continent"
"Argentina",3,"W. Hemisphere"
"Bolivia",2,"W. Hemisphere"
"Brazil",2,"W. Hemisphere"
"Chile",2,"W. Hemisphere"
"Colombia",1,"W. Hemisphere"
"Ecuador",2,"W. Hemisphere"
"El Salvador",5,"W. Hemisphere"
"France",1,"W. Hemisphere"
"Guatemala",3,"W. Hemisphere"
"Honduras",3,"W. Hemisphere"
"Mexico",2,"W. Hemisphere"
"Nicaragua",1,"W. Hemisphere"
"Paraguay",2,"W. Hemisphere"
"Peru",3,"W. Hemisphere"
"Spain",2,"W. Hemisphere"
"United Kingdom",1,"W. Hemisphere"
"United States",2,"W. Hemisphere"
"Armenia",1,"Europe"
"Austria",5,"Europe"
"Austria-Hungary",1,"Europe"
"Azerbaijan",1,"Europe"
"Baden",2,"Europe"
"Bavaria",2,"Europe"
"Belgium",2,"Europe"
"Bosnia",1,"Europe"
"Brazil",1,"Europe"
"Bulgaria",5,"Europe"
"Canada",1,"Europe"
"Croatia",1,"Europe"
"Cyprus",1,"Europe"
"Czechoslovakia",1,"Europe"
"Denmark",2,"Europe"
"Estonia",2,"Europe"
"Finland",3,"Europe"
"France",9,"Europe"
"Germany",8,"Europe"
"Greece",6,"Europe"
"Hanover",1,"Europe"
"Hesse Electoral",1,"Europe"
"Hesse Grand Ducal",1,"Europe"
"Hungary",3,"Europe"
"Italy",7,"Europe"
"Latvia",1,"Europe"
"Lithuania",1,"Europe"
"Mecklenburg Schwerin",1,"Europe"
"Modena",1,"Europe"
"Netherlands",2,"Europe"
"Norway",1,"Europe"
"Ottoman Empire",1,"Europe"
"Papal States",2,"Europe"
"Poland",3,"Europe"
"Portugal",1,"Europe"
"Prussia",1,"Europe"
"Romania",5,"Europe"
"Russia",7,"Europe"
"Sardinia/Piedmont",3,"Europe"
"Saxony",1,"Europe"
"Spain",1,"Europe"
"Turkey",8,"Europe"
"Tuscany",1,"Europe"
"Two Sicilies",2,"Europe"
"USSR",3,"Europe"
"United Kingdom",4,"Europe"
"United States",3,"Europe"
"Wuerttemburg",2,"Europe"
"Yugoslavia",6,"Europe"
"Angola",1,"Africa"
"Australia",1,"Africa"
"Chad",1,"Africa"
"Cuba",2,"Africa"
"Democratic Republic of the Congo",1,"Africa"
"Eritrea",1,"Africa"
"Ethiopia",4,"Africa"
"France",1,"Africa"
"Germany",2,"Africa"
"Italy",3,"Africa"
"Libya",2,"Africa"
"New Zealand",1,"Africa"
"Somalia",1,"Africa"
"South Africa",2,"Africa"
"Tanzania",1,"Africa"
"Uganda",1,"Africa"
"United Kingdom",2,"Africa"
"United States",1,"Africa"
"Australia",2,"Middle East"
"Canada",1,"Middle East"
"Chad",1,"Middle East"
"Egypt",7,"Middle East"
"France",5,"Middle East"
"Germany",2,"Middle East"
"Greece",2,"Middle East"
"Iran",2,"Middle East"
"Iraq",5,"Middle East"
"Israel",6,"Middle East"
"Italy",4,"Middle East"
"Jordan",3,"Middle East"
"Kuwait",1,"Middle East"
"Lebanon",1,"Middle East"
"Libya",1,"Middle East"
"Morocco",4,"Middle East"
"New Zealand",1,"Middle East"
"Oman",1,"Middle East"
"Ottoman Empire",1,"Middle East"
"Qatar",1,"Middle East"
"Russia",3,"Middle East"
"Saudi Arabia",3,"Middle East"
"Spain",3,"Middle East"
"Syria",5,"Middle East"
"Turkey",6,"Middle East"
"United Arab Emirates",1,"Middle East"
"United Kingdom",7,"Middle East"
"United States",3,"Middle East"
"Yemen Arab Republic",1,"Middle East"
"Yugoslavia",1,"Middle East"
"Afghanistan",1,"Asia"
"Australia",4,"Asia"
"Belgium",1,"Asia"
"Cambodia",3,"Asia"
"Canada",2,"Asia"
"China",12,"Asia"
"China (PRC)",2,"Asia"
"Colombia",1,"Asia"
"Ethiopia",1,"Asia"
"France",5,"Asia"
"Germany",1,"Asia"
"Greece",1,"Asia"
"India",5,"Asia"
"Japan",9,"Asia"
"Laos",1,"Asia"
"Mongolia",2,"Asia"
"Netherlands",1,"Asia"
"New Zealand",1,"Asia"
"North Korea",1,"Asia"
"Pakistan",4,"Asia"
"Philippines",2,"Asia"
"Russia",3,"Asia"
"South Korea",2,"Asia"
"South Vietnam",2,"Asia"
"Spain",1,"Asia"
"Taiwan",1,"Asia"
"Taiwan (ROC)",1,"Asia"
"Thailand",4,"Asia"
"Turkey",1,"Asia"
"USSR",4,"Asia"
"United Kingdom",5,"Asia"
"United States",8,"Asia"
"Vietnam",6,"Asia"
"Australia",1,"Oceania"
"Japan",1,"Oceania"
"New Zealand",1,"Oceania"
"United States",1,"Oceania"
